Timestamp,"By ticking the box below , you agree to having read and understood the text above and provide your answers voluntarily for the purpose of this study",Which of the following money-generating pathway/s are you currently focusing on? (i.e. you are actively preparing yourself for it or already engaged in it) ,What is your gender?,What is your age?,Please select the region in which you have lived most of your life.,Please select the option that fits the country in which you've spent most of your life.,"Are you an IBA, GEM, or IEM major?",What is your major? ,Are you or have you been involved in IBCM and/or JSC?,"What is your GPA? (German scale, please base it off your overall study results, e.g. 1.33)","Do you have frequent exposure to personal finance content? 1 hour per week or more dedicated to books, articles, videos, podcasts, voluntary courses, etc.",Did one of your parents/guardians make money through employment?,Have you lived for more than one (1) year in Germany?,Did one of your parents/guardians make money through self-employment?,Did one of your parents/guardians make money through investments?,Did one of your parents/guardians make money through  large business ownership?,"How much do you value financial safety and certainty when making financial decisions? (e.g. a purchase, investment, job security, or planning for the future)",How perfectionist do you consider yourself to be?,How much of a leader do you consider yourself to be?,How much do you like teamwork?,"Has moving to Germany (if applicable) had an impact on how you manage your money, plan for your financial future, and/or altered your mindset when it comes to money? Why or why not?",Do you consistently spend time with people who are interested and continuously engaged in personal finance topics?
3/3/2023 6:04:35,I agree to participate in this questionnaire,Self-employed,Female,20,North America,"High income, Upper-middle income",No,IRPH,No,1.33,No,Yes,No,Yes,No,No,5,5,1,1,,0
3/7/2023 5:15:15,I agree to participate in this questionnaire,Self-employed,Female,22,Eastern Europe,"Lower-middle income, Low income",No,IRPH,No,1.33,No,Yes,No,Yes,No,No,5,5,0,0,,1
3/9/2023 14:43:07,I agree to participate in this questionnaire,Self-employed,Male,20,Central Asia,"Lower-middle income, Low income",No,ISCP,No,1.33,No,Yes,No,Yes,No,No,4,5,0,0,,1
3/9/2023 15:04:58,I agree to participate in this questionnaire,Self-employed,Male,18,Eastern Europe,"Lower-middle income, Low income",No,ISCP,No,1.4,No,Yes,Yes,Yes,No,No,5,4,2,2,,2
3/2/2023 14:27:34,I agree to participate in this questionnaire,Self-employed,Female,23,Middle East and North Africa,"Lower-middle income, Low income",No,MCCB,No,1.5,No,Yes,Yes,Yes,No,No,5,5,1,1,,1
1/24/2023 6:07:42,I agree to participate in this questionnaire,Self-employed,Male,22,Western Europe,"High income, Upper-middle income",Yes,IEM,Yes,2,No,Yes,Yes,No,Yes,No,4,4,4,3,"Yes, tax is crazy. Inflation is mad, invest your money",2
3/10/2023 5:27:25,I agree to participate in this questionnaire,Self-employed,Male,18,Western Europe,"High income, Upper-middle income",No,ISCP,No,2,No,Yes,No,Yes,No,No,4,3,1,1,,1
2/17/2023 7:59:01,I agree to participate in this questionnaire,Self-employed,Male,20,Western Europe,"High income, Upper-middle income",No,CS,No,2.47,Yes,Yes,No,Yes,No,No,2,4,4,4,"yeah, it's more expensive",5
2/17/2023 8:05:27,I agree to participate in this questionnaire,Self-employed,Male,19,Eastern Europe,"Lower-middle income, Low income",No,Robotics,No,5,Yes,Yes,No,No,No,No,0,4,5,5,,2
2/17/2023 7:58:19,I agree to participate in this questionnaire,Self-employed,Female,19,Eastern Europe,"Lower-middle income, Low income",No,CS,No,2,Yes,No,No,Yes,Yes,No,2,4,4,3,"Yes, because I am somehow financially aware of my expenses for groceries.",3
3/9/2023 4:20:35,I agree to participate in this questionnaire,Self-employed,Female,18,Western Europe,"High income, Upper-middle income",No,MCCB,No,1,No,Yes,Yes,Yes,Yes,No,0,5,3,3,,4
1/22/2023 11:23:51,I agree to participate in this questionnaire,"Self-employed, Investor",Female,21,Latin America and the Caribbean,"Lower-middle income, Low income",No,ISCP,No,1.08,No,Yes,Yes,Yes,Yes,No,4,4,3,3,I had to learn to manage my personal finances,5
1/26/2023 15:32:59,I agree to participate in this questionnaire,"Self-employed, Investor",Male,22,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,1.46,Yes,Yes,Yes,Yes,Yes,No,5,4,4,2,"No, I feel like my financial knowledge is not related to me moving to Germany.",3
1/22/2023 16:24:13,I agree to participate in this questionnaire,"Self-employed, Investor, Business owner",Male,22,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IBA,Yes,1.3,Yes,Yes,Yes,Yes,Yes,Yes,4,5,5,3,Yes,5
3/9/2023 9:16:40,I agree to participate in this questionnaire,"Self-employed, Investor, Business owner",Male,18,Eastern Europe,"High income, Upper-middle income",No,CS,No,2,Yes,No,No,Yes,No,Yes,3,3,5,2,,2
1/19/2023 18:02:05,Agree to participate in this questionnaire,"Self-employment, Investor, Business owner",Male,22,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IBA,Yes,1.3,Yes,Yes,Yes,Yes,Yes,Yes,2,5,3,2,,3
